                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0128,                0.48129,                0.89132,                0.80717,                0.74378,                0.79112,                0.56404,                 1.1146,                0.48621,                0.90148,               0.006436,               0.006436,               0.006436
                     38,                 1.0182,                0.48504,                0.89249,                0.80369,                0.74698,                0.78699,                0.56146,                 1.1111,                0.48605,                0.90124,               0.006337,               0.006337,               0.006337
                     39,                 1.0133,                0.47951,                0.89136,                0.79579,                0.75383,                0.78528,                0.56147,                 1.1119,                 0.4865,                0.90112,               0.006238,               0.006238,               0.006238
                     40,                 1.0128,                 0.4802,                0.89158,                0.81564,                0.74201,                0.78814,                0.56391,                 1.1126,                 0.4862,                0.90103,               0.006139,               0.006139,               0.006139
                     41,                 1.0034,                0.47438,                0.88952,                0.80006,                 0.7516,                0.79101,                0.56666,                 1.1146,                0.48636,                0.90122,                0.00604,                0.00604,                0.00604
                     42,                 1.0019,                0.47342,                0.89044,                0.79789,                0.76165,                0.79251,                0.56663,                 1.1165,                0.48644,                0.90141,               0.005941,               0.005941,               0.005941
                     43,                0.99354,                0.46897,                0.88807,                0.79303,                0.75944,                0.79232,                0.56316,                 1.1188,                0.48696,                0.90161,               0.005842,               0.005842,               0.005842
                     44,                0.99268,                0.46689,                0.88658,                0.79972,                0.75784,                0.79337,                0.56364,                 1.1204,                0.48662,                0.90187,               0.005743,               0.005743,               0.005743
                     45,                0.99193,                 0.4645,                0.88568,                0.80049,                0.75677,                0.79187,                0.56435,                 1.1191,                0.48611,                0.90154,               0.005644,               0.005644,               0.005644
                     46,                0.98667,                0.46427,                 0.8861,                0.81099,                0.75231,                0.79401,                0.56672,                 1.1194,                0.48566,                0.90165,               0.005545,               0.005545,               0.005545
                     47,                0.98683,                0.46304,                0.88402,                0.80556,                0.75536,                0.79438,                0.56765,                  1.121,                0.48603,                  0.902,               0.005446,               0.005446,               0.005446
                     48,                0.98381,                0.45852,                0.88503,                0.80696,                0.75692,                0.79425,                0.56595,                 1.1225,                0.48614,                0.90227,               0.005347,               0.005347,               0.005347
                     49,                0.97744,                0.45613,                0.88466,                0.80896,                0.75556,                0.79516,                0.56602,                 1.1238,                0.48586,                0.90257,               0.005248,               0.005248,               0.005248
                     50,                0.97162,                0.45267,                0.88264,                0.79233,                0.76491,                0.79498,                0.56605,                 1.1237,                0.48586,                0.90254,               0.005149,               0.005149,               0.005149
                     51,                0.97357,                0.45357,                0.88245,                0.79143,                0.76489,                0.79501,                0.56681,                  1.124,                0.48567,                0.90265,                0.00505,                0.00505,                0.00505
                     52,                0.96931,                0.44936,                0.88214,                0.79768,                0.76209,                0.79419,                 0.5673,                 1.1241,                0.48578,                0.90269,               0.004951,               0.004951,               0.004951
                     53,                0.96295,                0.44744,                0.87946,                0.80715,                0.74658,                0.79349,                0.56752,                 1.1257,                0.48597,                0.90296,               0.004852,               0.004852,               0.004852
                     54,                0.95885,                0.44342,                0.88002,                0.80269,                0.74778,                0.79236,                0.56611,                 1.1262,                0.48602,                0.90296,               0.004753,               0.004753,               0.004753
                     55,                0.95764,                0.43998,                0.87955,                0.80117,                0.74833,                0.79271,                0.56565,                 1.1265,                0.48607,                0.90288,               0.004654,               0.004654,               0.004654
                     56,                0.96469,                0.44565,                0.88037,                0.81535,                0.74565,                 0.7929,                0.56376,                 1.1273,                0.48638,                0.90295,               0.004555,               0.004555,               0.004555
                     57,                0.96553,                 0.4449,                0.88128,                0.81489,                0.74606,                0.79208,                0.56354,                  1.128,                0.48683,                  0.903,               0.004456,               0.004456,               0.004456
                     58,                0.96163,                0.44306,                0.87982,                0.80621,                0.74517,                0.79186,                0.56267,                 1.1282,                0.48664,                0.90294,               0.004357,               0.004357,               0.004357
                     59,                0.95642,                0.44003,                0.87886,                0.80217,                0.74308,                0.79192,                0.56394,                 1.1282,                0.48656,                0.90294,               0.004258,               0.004258,               0.004258
                     60,                0.95217,                0.43592,                0.87669,                0.79514,                0.74755,                0.79124,                 0.5643,                 1.1274,                0.48657,                0.90285,               0.004159,               0.004159,               0.004159
                     61,                 0.9478,                0.43564,                0.87712,                0.77772,                0.75873,                 0.7906,                0.56273,                 1.1274,                0.48672,                0.90294,                0.00406,                0.00406,                0.00406
                     62,                0.94557,                0.43384,                0.87726,                0.78122,                0.75328,                0.79068,                0.56322,                 1.1273,                0.48674,                0.90299,               0.003961,               0.003961,               0.003961
                     63,                0.94138,                0.42991,                0.87459,                0.77962,                0.75357,                 0.7903,                0.56334,                 1.1272,                0.48706,                0.90303,               0.003862,               0.003862,               0.003862
                     64,                0.93549,                0.42804,                0.87269,                0.76612,                  0.764,                0.78938,                  0.563,                  1.128,                0.48748,                0.90329,               0.003763,               0.003763,               0.003763
                     65,                0.93587,                0.42651,                0.87295,                0.76489,                0.76369,                0.78814,                0.56252,                 1.1284,                0.48787,                0.90349,               0.003664,               0.003664,               0.003664
